	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
S0366_101M	101	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	15-17.9
S0388_101M	101	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0405_101M	101	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0443_101M	101	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0464_101M	101	101-150	101-200	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0277_101.7M	101.7	101-150	101-200	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0470_101.9M	101.9	101-150	101-200	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0476_101.9M	101.9	101-150	101-200	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0482_101.9M	101.9	101-150	101-200	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0018_102M	101.9	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	15-17.9
S0341_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0344_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0349_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0371_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0376_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0383_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0398_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0410_102M	102	101-150	101-200	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0024_103M	102	101-150	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0030_103M	103	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	15-17.9
S0430_103M	103	101-150	101-200	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0435_103M	103	101-150	101-200	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0067_108.8M	103	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0085_109.7M	108.8	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0117_109.9M	109.7	101-150	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0093_110.7M	109.9	101-150	101-200	EPI	N_ITCZ	AON	37.0-37.5	21-23.9
S0051_111.1M	110.7	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0125_111.1M	111.1	101-150	101-200	EPI	N_ITCZ	AON	36.0-36.5	21-23.9
S0133_111.1M	111.1	101-150	101-200	EPI	N_ITCZ	AON	36.0-36.5	21-23.9
S0108_113.8M	113.8	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0060_113.9M	113.9	101-150	101-200	EPI	N_ITCZ	AON	37.0-37.5	21-23.9
S0149_119M	119	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0500_121.1M	121.1	101-150	101-200	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0141_123.8M	123.8	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0155_127M	127	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0109_133.7M	133.7	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0075_134.2M	134.2	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0101_135M	135	101-150	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0198_135M	135	101-150	101-200	EPI	S_ITCZ	AOS	36.5-37.0	21-23.9
S0126_135.2M	135.2	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0118_135.4M	135.4	101-150	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0068_135.6M	135.6	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0094_135.6M	135.6	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0052_135.8M	135.8	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0248_136.5M	136.5	101-150	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0134_139.6M	139.6	101-150	101-200	EPI	N_ITCZ	AON	36.0-36.5	18-20.9
S0241_140.7M	140.7	101-150	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0195_143M	143	101-150	101-200	EPI	S_ITCZ	AOS	36.5-37.0	21-23.9
S0228_148M	148	101-150	101-200	EPI	S_ITCZ	AOS	35.5-36.0	12-14.9
S0180_149M	149	101-150	101-200	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0193_149M	149	101-150	101-200	EPI	S_ITCZ	AOS	36.5-37.0	21-23.9
S0201_149M	149	101-150	101-200	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0204_149M	149	101-150	101-200	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0219_149M	149	101-150	101-200	EPI	S_ITCZ	AOS	34.0-34.5	6.0-8.9
S0225_149M	149	101-150	101-200	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0036_150M	150	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0047_150M	150	101-150	101-200	EPI	N_ITCZ	AON	37.0-37.5	21-23.9
S0166_150M	150	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0171_150M	150	101-150	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0183_150M	150	101-150	101-200	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0189_150M	150	101-150	101-200	EPI	S_ITCZ	AOS	36.0-36.5	18-20.9
S0207_150M	150	101-150	101-200	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0213_150M	150	101-150	101-200	EPI	S_ITCZ	AOS	34.0-34.5	3.0-5.9
S0222_150M	150	101-150	101-200	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0019_151M	151	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	15-17.9
S0025_151M	151	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0042_151M	151	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0178_151M	151	151-200	101-200	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0186_151M	151	151-200	101-200	EPI	S_ITCZ	AOS	36.0-36.5	18-20.9
S0216_151M	151	151-200	101-200	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0297_151M	151	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0234_151.8M	151.8	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0005_152M	152	151-200	101-200	EPI	N_ITCZ	AON	35.0-35.5	9.0-11.9
S0031_152M	152	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0150_152M	152	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0161_152M	152	151-200	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0012_153M	153	151-200	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0135_160M	160	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	18-20.9
S0072_39.9M	180	151-200	101-200	EPI	N_ITCZ	AON	37.0-37.5	24-26.9
S0086_182.4M	182.4	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0102_183.7M	183.7	151-200	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0076_183.8M	183.8	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0110_183.8M	183.8	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0142_183.9M	183.9	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0061_184M	184	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0127_184.1M	184.1	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0242_185M	185	151-200	101-200	EPI	N_ITCZ	AON	35.0-35.5	12-14.9
S0249_185.4M	185.4	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0095_185.7M	185.7	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0119_185.8M	185.8	151-200	101-200	EPI	N_ITCZ	AON	35.0-35.5	9.0-11.9
S0053_186.3M	186.3	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0069_186.5M	186.5	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0013_198M	198	151-200	101-200	EPI	N_ITCZ	AON	35.5-36.0	12-14.9
S0006_199M	199	151-200	101-200	EPI	N_ITCZ	AON	35.0-35.5	9.0-11.9
S0020_199M	199	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	15-17.9
S0032_199M	199	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0037_200M	200	151-200	101-200	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0156_200M	200	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0172_200M	200	151-200	101-200	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0026_201M	201	201-250	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0043_201M	201	201-250	201-300	MES	N_ITCZ	AON	35.0-35.5	9.0-11.9
S0048_201M	201	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0162_201M	201	201-250	201-300	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0298_201M	201	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0360_201M	201	201-250	201-300	MES	S_ITCZ	POS	35.0-35.5	15-17.9
S0235_201.1M	201.1	201-250	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0151_202M	202	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0167_202M	202	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0258_202M	202	201-250	201-300	MES	S_ITCZ	POS	35.0-35.5	15-17.9
S0436_203M	203	201-250	201-300	MES	S_ITCZ	POS	35.0-35.5	12-14.9
S0334_204M	204	201-250	201-300	MES	S_ITCZ	POS	35.0-35.5	15-17.9
S0136_232.9M	232.9	201-250	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0062_233M	233	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0143_233.1M	233.1	201-250	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0087_233.3M	233.3	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0111_233.6M	233.6	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0077_234.1M	234.1	201-250	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0103_234.5M	234.5	201-250	201-300	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0070_234.7M	234.7	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0096_234.8M	234.8	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	15-17.9
S0128_236.7M	236.7	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0054_237.3M	237.3	201-250	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0088_281.4M	281.4	251-300	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0144_283.3M	283.3	251-300	201-300	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0063_283.9M	283.9	251-300	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0137_284.7M	284.7	251-300	201-300	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0097_284.8M	284.8	251-300	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0112_285M	285	251-300	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0129_285.3M	285.3	251-300	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0104_285.9M	285.9	251-300	201-300	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0120_285.9M	285.9	251-300	201-300	MES	N_ITCZ	AON	35.0-35.5	9.0-11.9
S0071_288.8M	288.8	251-300	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0055_291.5M	291.5	251-300	201-300	MES	N_ITCZ	AON	36.5-37.0	18-20.9
S0078_300.8M	300.8	251-300	201-300	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0236_349M	349	301-350	301-400	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0079_374.3M	374.3	351-400	301-400	MES	N_ITCZ	AON	36.0-36.5	12-14.9
S0145_389.4M	389.4	351-400	301-400	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0089_414.2M	414.2	401-450	401-500	MES	N_ITCZ	AON	36.0-36.5	15-17.9
S0080_499.6M	499.6	451-500	401-500	MES	N_ITCZ	AON	35.5-36.0	12-14.9
S0288_999.9M	999.9	950-1000	901-1000	MES	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0321_1001.5M	1001.5	1001-1050	1001-1100	BAT	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0425_1001.5M	1001.5	1001-1050	1001-1100	BAT	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0259_1008M	1008	1001-1050	1001-1100	BAT	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0361_1008M	1008	1001-1050	1001-1100	BAT	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0437_1012M	1012	1001-1050	1001-1100	BAT	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0335_1023M	1023	1001-1050	1001-1100	BAT	S_ITCZ	POS	34.0-34.5	3.0-5.9
S0081_1055.2M	1055.2	1051-1100	1001-1100	BAT	N_ITCZ	AON	35.0-35.5	6.0-8.9
MAL082_2150M	2150	2101-2150	2101-2200	BAT	S_ITCZ	POS	34.5-35.0	0-2.9
MAL062_2400M	2400	2351-2400	2301-2400	BAT	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL121_3008M	3008	3001-3050	3001-3100	BAT	N_ITCZ	PON	34.5-35.0	0-2.9
MAL118_3103M	3103	3101-3150	3101-3200	BAT	N_ITCZ	PON	34.5-35.0	0-2.9
MAL032_3199M	3199	3151-3200	3101-3200	BAT	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL053_3500M	3500	3451-3500	3401-3500	BAT	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL081_3501M	3501	3501-3550	3501-3600	BAT	S_ITCZ	POS	34.5-35.0	0-2.9
MAL035_3662M	3662	3651-3700	3601-3700	BAT	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL097_3818M	3818	3801-3850	3801-3900	BAT	N_ITCZ	PON	34.5-35.0	0-2.9
MAL043_3900M	3900	3851-3900	3801-3900	BAT	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL026_3907M	3907	3901-3950	3901-4000	BAT	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL074_3996M	3996	3951-4000	3901-4000	BAT	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL059_4000M	4000	3951-4000	3901-4000	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL020_4001M	4001	4001-4050	4001-4100	ABY	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL041_4001M	4001	4001-4050	4001-4100	ABY	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL065_4001M	4001	4001-4050	4001-4100	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL077_4001M	4001	4001-4050	4001-4100	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL010_4002M	4002	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL017_4002M	4002	4001-4050	4001-4100	ABY	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL050_4002M	4002	4001-4050	4001-4100	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL112_4002M	4002	4001-4050	4001-4100	ABY	N_ITCZ	PON	34.5-35.0	0-2.9
MAL146_4002M	4002	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL013_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL023_4003M	4003	4001-4050	4001-4100	ABY	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL131_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL134_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL144_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL067_4004M	4004	4001-4050	4001-4100	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL109_4004M	4004	4001-4050	4001-4100	ABY	N_ITCZ	PON	34.5-35.0	0-2.9
MAL007_4005M	4005	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL103_4013M	4013	4001-4050	4001-4100	ABY	N_ITCZ	PON	34.5-35.0	0-2.9
MAL091_4018M	4018	4001-4050	4001-4100	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0438_4580M	4580	4551-4600	4501-4600	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0362_5095M	5095	5051-5100	5001-5100	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0336_5100M	5100	5051-5100	5001-5100	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0260_5601M	5601	5601-5650	5601-5700	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
